|   in   |load |     address     |  out   |
|  12345 |  1  | 010000000000000 |      0 |
|  12345 |  1  | 010000000000000 |  12345 |
|  12345 |  1  | 100000000000000 |      0 |
|  12345 |  1  | 100000000000000 |  12345 |
|     -1 |  1  | 000000000000000 |      0 |
|     -1 |  1  | 000000000000000 |     -1 |
|   9999 |  0  | 000000000000000 |     -1 |
|   9999 |  0  | 000000000000000 |     -1 |
|   9999 |  0  | 010000000000000 |  12345 |
|   9999 |  0  | 100000000000000 |  12345 |
|  12345 |  1  | 000000000000000 |     -1 |
|  12345 |  1  | 000000000000000 |  12345 |
|  12345 |  1  | 100000000000000 |  12345 |
|  12345 |  1  | 100000000000000 |  12345 |
|   2222 |  1  | 010000000000000 |  12345 |
|   2222 |  1  | 010000000000000 |   2222 |
|   9999 |  0  | 010000000000000 |   2222 |
|   9999 |  0  | 010000000000000 |   2222 |
|   9999 |  0  | 000000000000000 |  12345 |
|   9999 |  0  | 100000000000000 |  12345 |
|   9999 |  0  | 000000000000001 |      0 |
|   9999 |  0  | 000000000000010 |      0 |
|   9999 |  0  | 000000000000100 |      0 |
|   9999 |  0  | 000000000001000 |      0 |
|   9999 |  0  | 000000000010000 |      0 |
|   9999 |  0  | 000000000100000 |      0 |
|   9999 |  0  | 000000001000000 |      0 |
|   9999 |  0  | 000000010000000 |      0 |
|   9999 |  0  | 000000100000000 |      0 |
|   9999 |  0  | 000001000000000 |      0 |
|   9999 |  0  | 000010000000000 |      0 |
